time,precip1,precip2,precip3,Precip4
1987-04-01,5.226395,3.41559,4.754809,4.446619
1987-05-01,1.465008,0.7532669,1.743361,3.694556
1987-06-01,2.068813,3.29397,5.135933,6.994003
1987-07-01,0.6608417,2.314508,3.975805,5.867583
1987-08-01,0.1500926,0.398928,2.326999,5.83131
1987-09-01,0.1245022,0.2141071,0.6227712,0.8120508
1987-10-01,0.09814626,0.1191127,0.4792264,0.3661391
1987-11-01,0.05630076,0.06482191,0.101605,0.434178
1987-12-01,0.1218803,0.023023,0.1428561,0.2684898
1988-01-01,2.219986,1.142019,0.8623412,0.8686844
1988-02-01,4.363581,3.140924,1.758111,0.9422215
1988-03-01,7.162538,6.773727,5.260466,4.370845
1988-04-01,9.439548,6.478518,6.50356,7.608934
1988-05-01,6.139398,3.41718,2.715199,5.697721
1988-06-01,2.974291,2.282226,5.068622,10.41249
1988-07-01,2.828193,3.06704,8.282114,10.4535
1988-08-01,0.9671873,1.564967,2.456767,2.91301
1988-09-01,0.49928,0.7916633,1.503412,2.675148
1988-10-01,0.1032529,0.1223696,0.5407786,1.28137
1988-11-01,0.2476672,0.2727807,0.9363882,2.225052
1988-12-01,1.070889,0.8428321,2.412955,3.279356
1989-01-01,1.638987,1.157193,1.683731,1.370364
1989-02-01,1.03103,1.174448,0.6181441,0.2220437
1989-03-01,5.49131,3.382533,2.854469,4.274736
1989-04-01,16.5323,11.76426,7.97432,10.87961
1989-05-01,6.331533,3.946953,6.904778,14.87989
1989-06-01,3.26632,2.601093,5.183517,7.489533
1989-07-01,3.469032,4.086125,8.656635,9.536473
1989-08-01,0.5872833,1.287451,2.757353,4.309322
1989-09-01,0.1881299,0.2725801,1.23462,4.15605
1989-10-01,0.1729127,0.1859522,1.297812,2.794559
1989-11-01,0.01873972,0.4282123,1.090588,0.8246127
1989-12-01,2.457994,3.02301,3.994983,6.04528
1990-01-01,0.8257039,0.4215921,0.9838159,1.579019
1990-02-01,3.523449,2.799098,1.526634,0.9851704
1990-03-01,2.754347,0.8224351,0.5539095,1.523677
1990-04-01,2.858791,3.219772,4.567409,4.519618
1990-05-01,2.557102,2.481622,3.316675,3.179102
1990-06-01,1.091588,2.106161,3.678802,4.283968
1990-07-01,0.8040109,2.229018,5.639019,6.493358
1990-08-01,0.2438104,2.028933,2.759684,3.622705
1990-09-01,0.0833917,0.4559545,1.81088,2.984513
1990-10-01,0.1535482,0.3799775,0.9309007,2.143708
1990-11-01,0.1501305,0.1966967,0.4466456,1.116866
1990-12-01,0.1203169,0.08500914,0.5449136,0.9065229
1991-01-01,1.296665,0.7351261,0.7352988,1.221992
1991-02-01,3.692679,2.630401,1.590172,0.6531368
1991-03-01,7.57515,6.024994,3.879646,2.316308
1991-04-01,3.899349,3.193741,2.962493,2.801023
1991-05-01,8.453287,3.948536,6.520388,10.42528
